카테고리,주제,내용
부모님문제,부모님은공부못하면사람도아니라고하세요,"선생님, 저는 부모님의 사랑을 받고 싶은데, 부모님은 공부 못하면 사람도 아니라고 야단치세요. 공부해야지 하고 계획표를 세워 보지만 무능하고 무가치하다는 생각 때문에 아무 의욕도 생기지 않고 죽고만 싶어요. "
부모님문제,부모님이동생을더예뻐하세요,저는 중학교 2학년 여학생입니다. 공부는 중간 정도 합니다. 초등학교 때는 공부도 잘했는데 지금은 공부에 흥미는 커녕은 세상을 왜 사는지 고민하고 있는데 그 이유는 저희 부모님이 동생을 더 예뻐합니다. 어쩌다 말다툼을 하면 부모님은 동생의 잘못인데도 누나니까 참으라고 하십니다. 너무 속상해요. 
부모님문제,엄마가사주는옷은촌스러워요,"저는 중3 남학생입니다. 저희 부모님은 제가 옷이나 신발을 사게 돈을 달라고 하면 '엄마가 사주는 데로 입으면 될 것이지 학생이 무슨 옷 그렇게 신경을 쓰냐' 고 말도 못 꺼내게 하세요. 솔직히 엄마가 사 주는 옷은 촌스럽고, 마음에 들지 않아요. 친구들은 유명메이커 청바지를 몇 개씩 가지고 있는데 걔네 들을 보면 내가 너무 꿀린다는 생각이 들어요. "
부모님문제,부모님의잔소리에숨이막혀요,"저는 요즘 사는 게 너무 힘듭니다. 집에 들어가기가 싫습니다. 한다고 해도 성적이 오르지 않고 공부도 안되고 해서 머리라도 식힐 겸 친구들이랑 외출하려고 하면 어느새 저희 부모님의 잔소리가 뒤따릅니다. 잠시도 부모님의 감시하는 듯한 눈초리를 피할 수가 없어요. 성적만을 최고로 치고 저는 조금도 이해 못하시는 것 같아 숨이 막힙니다. 선생님, 집에서 멀리 떨어진 절 같은 곳에 들어가 살고 싶습니다. 자유로운 곳에서 새로 시작하고 싶어요. 정말 어찌해야 좋을지 모르겠어요. "
부모님문제,국가유공자녀로서느끼는우울함,"안녕하세요. 저는 고등학교 3학년 남학생입니다. 저는 국가유공자녀입니다. 어머니는 음식점 일을 하면서 열심히 사십니다. 6월이면 아버지에 대한 그리움이 심합니다. 저는 중학교 시절도 소외감과 외로움을 느끼며 보냈습니다. 지금 대학입시 준비로 더욱 고민이 많습니다. 어머님을 보면 안쓰럽고, 나라에 대한 부채 같은 것을 느낍니다. 지금도 우울한 마음을 씻을 수가 없는데 어떻게 해야 할까요? "
부모님문제,학과선택으로부모님과의갈등,"대학 시험을 앞둔 고등학교 3학년 여학생이다. 이제 와서 이런 고민을 한다는 것이 창피하기도 하지만 솔직히 나의 상태가 그러하니 어쩔 수 없는 일이다. 나의 고민은 다른 것이 아니라 입시가 다가올수록 어느 대학 어느 학과에 원서를 내야할지 점점 더 모르겠다는 것이다. 원래는 0 0 대학 영문학과를 목표로 했었다. 부모님께서 항상 영문학과가 여학생에게는 가장 좋은 학과라고 말씀하셨고 또 중학교 때까지만 해도 영어를 꽤 잘했기 때문이었다. 그러나 고등 학교에 진학한 후 언제부터인지 영어에 점점 자신이 없어졌다. 오랫동안 품어왔던 영문학을 전공하겠다는 목표가 사라지고 나니 왜 내가 지금까지 그런 엉뚱한 목표를 추구하고 살아왔는지, 왜 대학에는 꼭 가야만 한다는 생각으로 그저 맹목적인 공부를 계속해왔는지 나 자신이 한심스럽게 여겨지고 나에게 맞지도 않은 학과를 권해주신 부모님도 원망스럽다. 요즈음은 학교 생활 자체에 대해서도 회의가 들어 공부도 잘 안된다."
부모님문제,가정환경이원망스럽다,"중학교 남학생이다. 이런 가정 환경 속에 나를 놔두신 어머니 아버지가 원망스럽다. 우리 동네에는 나를 때리고 괴롭히는 불량배들이 있다. 아버지가 빚을 많이 지셔서 고모집에 살고 있는데 고모에게는 이런 말을 할 수가 없다. 어머니도 몸이 불편해서 나를 보살펴 주지 못하고, 공부도 잘 못하고, 밖에 나가서는 맞고 누구한테 화풀이도 할 수 없는 상황, 어떻게 해야 할까?"
부모님문제,지나친기대,"중학교 입학해서부터 고등학교 3학년이 된 지금까지 나의 생활을 뒤돌아보면 도시락 두개, 교과서, 참고서가 바로 내 생활의 전부였다. 부모님은 언제나 '서울대학교'를 가야한다고 나를 몰아부쳤던것 같다. 중학교 때는 그런 것에 대해 막연한 기대와 흥미도 있었는데 지금은 이런 내생활이 지긋지긋하다. 도대체 왜 이렇게 살아야만 하는지 모르겠다. 점수와 등수가 인생을 좌우하는 이런 세상이 정말 싫다."
부모님문제,재혼한어머니와의갈등,10 년전에 엄마가 20살이나 많은 사람과 재혼을 했다. 애아버지는 아들 셋이 있는데 그중 막내오빠가 얼마전에 나를 성폭행 하려해서 옆집으로 도망가서 간신히 피했다. 그후에도 비슷한 일이 여러 번 있어서 엄마에게 사실대로 말해서 부부싸움이 크게 일어났으나 별로 달리진 것은 없다. 이제는 그런 사람과 결혼한 엄마까지 밉고 집에 들어가기가 죽기보다 싫다.
부모님문제,이혼하는부모님,부모님이 이혼을 하시려고 한다. 나는 초등학교 6학년에 다니는 여자아이인데 형제도 없는 외동딸이다. 부모님이 이혼하게되면 외할머니와 함께 살게되는데 부모님은 서로 자기와 살자고 하신다. 어른들은 왜그러는지 모르겠다. 나는 누구와 살기보다는 부모님이 이혼을 하지 않았으면 좋겠다. 외할머니와 함께 사느니 차라리 집을 나가고 싶다.
부모님문제,엄마의재혼,"중학교 2학년생인데 3년전에 아버지가 교통사고로 돌아가시고 어머니가 슈퍼를 해서 살고 있다. 엄마가 내년 1월에 재혼을 하시겠다는 말을 듣고 오빠는 집을 나갔고 초등학교 5학년인 남동생과 나는 매일 울면서 지낸다. 애아버지가 될 분에게도 애가 셋이 있고 그 중에는 나와 동갑인 애도 있다는데 어떻게 같이 살지 걱정이다. 더구나 엄마와 그 아저씨가 같은 방을 쓸것을 생각하면 추하고 구역질이 난다. 우리생각은 하지도 않고 재혼하시려는 엄마가 밉고, 차라리 집을 나가버릴까 하는 생각이 자주 든다."
부모님문제,부모의불화,우리집 엄마와 아빠는 늘 싸운다. 전생에 무슨 인연이었길래 저렇게 매일 같이 싸우는지 알 수가 없다. 엄마는 사는게 지겹다고 하시면서도 말끝마다 나때문에 이혼은 못한다고 하신다. 그러면 나는 왜 낳으셨는지 모르겠다. 학교에 가서 다른 애들이 자기집 자랑을 하면 너무 부럽고 부모님이 미워진다. 학교를 마치고 집에 올 때마다 또 싸우실 부모님 생각만 하면 집에 들어가기도 싫다.
부모님문제,부모님의과도한기대,부모님은 모두 명문대를 나오셨고 그렇기 때문에 나에게도 반드시 좋은 학교에 가야한다고 기대를 하신다. 하지만 고등학교 2학년인 지금 나의 성적은 그저 반에서 중간정도이다. 아무리 공부를 하려고 해도 잘 되지 않는다. 아마 머리가 나빠서 그런 것 같다. 부모님은 나와 얼굴만 마주치면 좋은 대학에 가야된다는 얘기를 하시지만 나는 특별히 대학에 가야할 필요성도 못 느끼게고 더구나 좋은 대학에 갈 자신은 없다. 왜 꼭 학을 나와야만 잘 살 수 있다고 생각하는지 이해가 되지 않는다. 그냥 내가 바라는 대로 살 수 있도록 나에 게 맡겨둘수는 없는 것일까?
부모님문제,가정불화,"언니, 남동생과 함께 사는 중학교 2학년 여학생이다. 아버지는 내가 6살때 돌아가시고 어머니는 2년후쯤 집을 나가버렸다. 그후 언니는 술집에 나가 돈을 벌고, 주위 사람들의 도움으로 생활보호대상자로 인정되어 도움을 받고 있다. 더구나 나는 소녀가장 이라고 해서 장학금과 표창장도 받았다. 그러나 요즘에는 학교에서 다른 애들을 보면 그 애들의 환경이 부럽고 내게는 없는 그 아이들의 천지스러움이 부럽기만하다. 왜 나만 이렇게 어려운 환경에서 살아야 하는지 모든 것이 원망스럽기만 하다."
부모님문제,잔소리때문에미칠것만같아요!,저는 고등학교 1학년생입니다. 그런데 부모님의 잔소리만 들으면 미치겠습니다. 어떨 때는 죽고 싶은 충동을 느낄 때도 있습니다. 그리고 더욱 공부가 하기 싫어지기도 하고요. 이럴 떼 저는 어떠한 자세로 어떻게 행동해야 합니까? 날이 갈수록 공부는 더욱 하기 싫어지고 성격도 난폭하게 변해가고 있습니다. 제가 가져야할 마음가짐을 가르쳐 주십시오. 
부모님문제,부모님들의기대가부담되요,"고등학교 일 학년 남학생이다. 그런데 성적이 고민된다. 사실 성적도 성적이지만 가족들의 기대가 더 부담스럽다. 아버지가 벌서 환갑이시고 위로는 줄줄이 누나들만 있기 때문에 아들에 대한 부모님들의 기대가 부담스럽다. 고등학교에 오니 중학교 때와는 수업 방식이 다르고, 시험도 너무 자주 본다. 그러다 보니 성적이 좀 내려갔는데 온 식구가 나를 괴롭힌다. 청소만 잘 안해도 "" 그렇게 하면 대학 못 가"" 그러면서 야단을 친다. 어떻게 해야 할까?"
부모님문제,맞벌이하는부모님,부모님은 맞벌이를 하셔서 내게 별로 관심이 없다. 남는 시간에 오락실과 만화방에 드나들면서 우연히 귄 형에게서 담배 피는 것과 본드 마시는 것을 배웠다. 그러다가 지난겨울 방학때 다른 친구와 집을 나와버렸는데 지금 생각하면 내가 어떻게 해서 이렇게 까지 되었을까 싶다. 하지만 본드와 담배를 끊기가 생각처럼 쉽지 않다. 
부모님문제,집에들어가기싫어요,중학교 3학년 여학생이다. 학업성적이 갈수록 떨어져서 공부하는 것도 점점 싫어지고 성적 때문에 부모님께 꾸중듣는 일도 잦아졌다. 마음이 울적한 차에 우연히 반 친구들과 어울려 노래방을 가게 되었다. 시간이 지날수록 노래방도 자주 가게되었고 어쩔 때 돈이 모아질 때면 나이트 클럽에 가서 술도 마시고 춤도 춘다. 안되는 줄 알지만 끊을 수가 없고 공부는 진짜 하기 싫다. 밤늦게 집에 들어가면 부모님한테 매를 맞거나 야단맞기 일쑤이다. 이제는 집에도 들어가기가 싫다.
부모님문제,끝이없는방황,고등학교 3학년 남학생인데 중학교 3학년때 우연히 친구와 함께 담배를 피웠는데 그 이후로 지금까지 담배를 피우고 있다. 지금은 매일 흡연을 하고 있으며 수업시간만 끝나면 담배를 피우고만 싶어진다. 끊어야 된다고 생각도 하지만 또다시 담배에 손이 가는 내자신이 싫기도 하지만 어쩔 수가 없다.
부모님문제,명문대학다니는형제들,형제들은 명문대학을 다니는데 나의 부모님과 형제들은 모두 똑똑하다. 위로 오빠가 한분 있고 언니가 둘 있는데 전부 명문대에 다닌다. 그 때문에 어렸을 때부터 학업에 대한 부담감과 열등감을 많이 느끼면서 자랐다. 나도 오빠나 언니처럼 부모님에게 자랑스러운 딸이 되고 싶어서 공부를 열심히 해보았지만 성적은 늘 하위권에서 맴돈다. 식구들은 모두 나를 부끄러워 하는게 역력하다. 하지만 대학입시를 앞두고 있는 지금 좋은 대학은커녕 서울에 있는 대학에라도 들어 갈 수 있을지 모르겠다. 이렇게 사느니 다 그만두고 그저 어디론가 없어져 버리고 싶다. 
부모님문제,형제들에대한열등감,"상업고등학교에 다니는 여학생이다. 나의 형제는 위로 오빠둘이 있는데 모두 명문대학을 다니고 막내 여동생도 인문계 고등학교에서 야무지게 자기일을 잘 해낸다. 그래서 부모님은 나에 대해 야단도 많이 치시고 걱정도 많이 하신다. 더우기 성격도 내성적이고 소극적이어서 학교에서도 특별히 잘하는 게 없다. 자식을 편애하는 부모님, 날 무시하는 형제들, 학교생활도 잘 해내지 못하는 나의 무능력... 모든게 자신이 없고 내가 설 곳은 이 세상 어디에고 없는 것만 같다. "
부모님문제,화목하지못한가정생활,"우리집 식구들은 서로 싸우고 미워한다. 할머니, 엄마, 아버지, 고모, 삼촌 모두들 서로 다투신다. 삼촌은 술만 드시면 정신병자처럼 아버지에게 욕을 하고 싸우고 나면 아버지는 늘 우신다. 또 아버지는 사소한 일에도 엄마에게 화를 내신다. 엄마는 나에게 집안이 화목하지 않아도 공부만 열심히 하면 된다고 하시지만 공부를 하려고 해도 머릿속에는 식구들이 싸우는 모습만 자꾸 떠오른다. 학교에서는 선생님이나 아이들에게 명랑한 척 하지만 집에 들어오기도 싫고 죽고 싶을 때가 많다."
부모님문제,아버지의주벽,"우리집은 경제적으로도 별문제가 없고 다른 특별한 걱정거리는 없는데 아버지의 술버릇이 문제다. 아버지가 술만 드시면 물건을 마구 부수고, 나와 동생을 때리며, 어머니에게는 이혼하자고 소리를 질러 댄다. 아버지의 이런 주벽 때문에 나는 차츰 긴장이 쌓여 밤에는 잠이 오지 않고 학교에서는 선생님의 말씀이 귀에 들어오지 않아 공부도 제대로 되지 않는다. 이런 생활을 계속하느니 차라리 부모님이 이혼하셨으면 좋겠다. 아버지가 너무나 밉고 정말이지 이런 생활에서 벗어나고 싶다."
성격문제,저는항상우울하고자신이없어요,고3 여학생입니다. 제 고민은 바로 저의 성격인데 항상 우울하고 자신이 없고 비관적입니다. 사람들을 만나도 경직되어서 이야기도 제대로 못하고 친구들도 저와 친해지기를 싫어하는 것 같습니다. 
성격문제,특별히잘하는것이없는제가싫어요,중학교 3학년 여학생입니다. 요즘 들어 저는 매우 답답하고 속이 상해 요. 저같은 애는 아무래도 성공하지 못할 것 같아요. 공부를 특별히 잘하는 것도 아니고 남들보다 성격이 유달리 좋거나 재능이 있는 것 같지도 않아요. 집안이 특별히 넉넉한 것도 아니구요. 자신이 실망스럽고 점점 싫어집니다. 어떻게 하면 좋을까요? 
성격문제,다른사람말에지나치게민감해요,중학교 3학년 여학생입니다. 저는 다른 사람의 말에 지나치게 민감한 편입니다. 누가 저에 대해 무슨 말을 하면 저는 그 사람이 왜 그런 말을 했을까 하고 곰곰이 생각하곤 합니다. 남이 무심결에 스치듯이 하는 얘기도 제게는 상처가 되어서 오래오래 고민을 하게 됩니다. 그런 일에 덜 신경을 쓰고 싶은데 어떻게 해야 할까요? 
성격문제,여자라고꼭침착하고얌전해야하나요?,저는 고등학교 2학년 여학생인데요. 저희 엄마는 저보고 너무 덜렁댄다고 하셔요. 저는 준비물이나 도시락도 잘 빼놓고 다니고 물건도 어디 두었는지 몰라 찾지 못할 때가 많아요. 아빠는 저래서 시집이나 가겠냐고 하세요. 그런 말씀 들으면 참 속상하지만 여자라고 꼭 침착하고 얌전해야 되는 건 아니잖아요? 
성격문제,소심한성격을고칠수있는방법은요?,중학교 1학년 남학생입니다. 저는 성격이 너무 소심한 것 같아요. 주변에서도 여려보인다는 소리를 여러 번 들었습니다. 그런데 이제는 그 말이 꼭 제가 모자라고 부족하다는 식으로 들리는 거예요. 그런 제가 더욱 한심해 집니다. 성격을 고칠 수 있는 방법을 알려 주세요. 
성격문제,저는너무우유부단하고소신이없는것같아요,저는 대학교 1학년입니다. 저는 너무나 우유부단하고 소신이 없는 것 같아 고민입니다. 과 선배와 동기들과 같이 이야기를 하는데 어떤 선배가 이렇다고 하면 정말 그런 것 같아 맞장구 치고 또 다른 선배가 반 대 의견을 내세우면 또 그게 맞는 것 같아서 동의하고 그랬더니 친구가 저보고 너는 사내자식이 왜 그렇게 줏대가 없냐고 하더군요. 제가 정말 주체성이 없는 걸까요? 
성격문제,자만심을떨치고싶은데잘안되요,저는 중3학생입니다. 전 아주 안 좋은 버릇이 있는데 그게 바로 자만심입니다. 그래서 친구들한테도 잘난 체를 많이 하는 편입니다. 다행히 좋은 친구들이 있어서 충고를 해주지만 그래도 잘 고쳐지질 않습니다. 어떻게 하면 좋을까요? 
성격문제,사람들이저만쳐다보는것같아요,"저의 고민은 밖에 외출하기가 너무 힘이 든다는 것입니다. 밖에 나가면 사람들이 저만 쳐다보는 것 같아요. 저는 저자신의 걸음걸이와 신발,의복에 필요이상으로 신경이 쓰입니다. 온몸이 긴장되고 표정도 불안해 인상을 쓰고, 밖에 나가면 딴 세상에 와 있는 느낌이 들어요. 이런 문제들 때문에 외출하는 것을 기피하게 되고 친구도 별로 없고... 의복이나 걸음걸이 같은 사소한 문제 때문에 자기 인생의 발전과 자기 실현이 방해 받는다면 그것만큼 슬픈 일이 세상에 또 어디 있겠어요? 정신과에도 가보았지만 일반적인 답변만을 해주더군요. 길을 다닐 때 좀더 즐겁고 편안하게 다닐 수 있으면 얼마나 좋을까 하는 생각이 들어 요. 그래서 보다 즐거운 마음으로 사람들을 만나고 자유롭게 살고 싶어요. "
성격문제,손톱깨물어뜯는버릇,저는 15세 된 소녀입니다. 저는 초등학교 1학년 때부터 손톱을 이빨로 깨물어 뜯는 버릇이 생겨 지금까지도 그렇게 하고 있어 걱정입니다. 선생님께서 공부시간에 앞에 나와 문제를 풀어보라고 하실 때가 있는데 그럴 때면 괜히 마음이 초조해져 손톱을 더 많이 깨물어 뜯습니다. 손톱을 물어뜯는다고 엄마한테 자주 혼이 납니다. 이 버릇을 어떻게 하면 고칠 수 있을까요? 
성격문제,혼자다니기가힘들어요,저는 여대생입니다. 저에게는 대인공포증이 있어 외출하기가 두렵습니다. 밖에 나가면 모든 사람들이 저를 비웃는 것 같아 걸음걸이도 부자연스러워집니다. 대학3학년인 제가 이런 고민을 갖고 있다는 사실이 부끄럽습니다. 저는 너무나 자신감이 없는 것 같습니다. 제가 다른 사람을 볼 때는 그저 스쳐 지나가는 타인들로 생각할 뿐인데도 왜 저는 그들을 의식하게 되는지 모르겠습니다. 수업시간에 제가 발표를 해야 할 때는 발표도 잘하고 친구들과 같이 있을 때는 다른 사람들이 의식되지 않는데 다만 혼자서 어디를 다니는 것 이 저에게는 너무나 힘이 듭니다. 
성격문제,습관적으로물건을훔칩니다,저는 중1 여학생입니다. 중학교에 오면서 친구들과 재미로 선물의 집이나 카세트테잎 파는 가게에 들어가 물건을 몰래 가져오기 시작했어요. 처음에는 친구들이 있어야 가능했지만 지금은 혼자 있어도 습관적으로 예쁜 물건에 손이 가고 저도 모르게 주머니에 넣어 옵니다. 양심에 찔려 하지 않으려 해도 계속하게 되어 걱정입니다. 
성격문제,고민이많아요,"안녕하세요? 먼저 제 소개부터 할께요. 전 중학교 3학년생입니다. 성적은 중상위 정도이고, 학급에서 반장을 맡고 있죠. 그 다음에 다른 점은 별로 없어 요.(보통 학생...) 제 고민은 요즘 들어 많아 졌어요. 내일 모레가 시험인데 지금 이러 고 있는 제가 한심하기도 하군요. 다른 친구들은 열심히 공부할 터인 데..휴... 제 고민 말할께요... 전 고등학교 진학이 너무 무서워요... 뭐라고 할까.. 음.. 어떻게 갈까? 그리고 거기(고등학교) 가서 내가 버틸 수 있을까? 라든가 기타 등등... 또 갑자기 화나고 짜증나고 공부하기 싫고 그냥 자고만 싶고요. 그런 생각이 많이 들어요. 요즘 들어 더욱 심해졌어요. 그리고 가끔은 그냥 죽고 싶다는 생각도 해요. 이래선 안된다고 생각하면서 자꾸 그러고... 정말 미칠 것만 같아요. 참을성도 없어졌고요. 계속 혼자만 있고 싶어 요. 어떻게 하면 좋죠? "
성격문제,잘난체한다며괴롭혀요,저는 13살입니다. 전 어떻게 해야 할지 모르겠어요? 학교 가기가 무서워요. 학원도요. 지난 해 5학년 때 부회장을 했는데 친구들이 잘난 척한다고 1년이 지난 지금도 못살게 굴어요. 학원에서도요. 지난 번 어떤 모르는 언니가 돈이 있냐고 묻기에 없다고 하니까 어깨를 세게 치며 욕을 하고 지나갔어요. 너무 아팠어요. 오늘 아침에도 보았는데 눈을 곱지 않게 뜨고 욕을 하며 지나갔어요. 전 친구가 없어요. 별로 잘못한 것도 없어요. 아무것도 한 것이 없는 데 친구들은 왜 저를 피하고 미워할까요? 도와주세요. 
성격문제,친구를못사귀는나의성격,저는 처음 친구를 사귈 때 꽤 애를 먹습니다. 소극적이고 내성적인 저의 성격 탓에 외로움을 많이 느낍니다. 그런 성격을 고치려고 노력하지만 생각만큼 잘되지 않습니다. 써클 활동도 하지만 거기서도 나만 떨어질 그같은 그런 느낌에 견딜 수가 없습니다. 저는 이제 고3입니다. 그런 고민 때문에 공부가 잘 안됩니다. 제발 도와 주셔요. 
성격문제,사람이싫어서고민입니다,사람들이 싫어서 고민입니다. 내게 다가오는 모든 사람이 나쁘게 느껴집니다. 상담을 했더니 사람들에게서 장점을 찾아보라는 말을 들었습니다. 그러나 남의 장점이든 단점이든 간에 나를 해칠 것 같은 생각만 듭니다. 
성격문제,내성적인성격,저는 남학생입니다. 성격이 내성적이라 고민이 많이 됩니다. 외향적인 성격의 친구들이 부럽습니다. 앞으로 사회생활을 잘해 나갈 수 있을지 걱정이 많이 됩니다. 사는 것이 힘들다고 느껴집니다. 
성격문제,속마음을숨긴채엉뚱하게행동하는나,예전에는 그렇지 않았는데 점점 이상해집니다. 남이 나를 알아주고 모두 나만 쳐다보기를 바라며 자꾸 일을 만들고 확대시키곤 합니다. 속마음은 숨긴 채 엉뚱하게 행동하는 나 자신이 밉고 혐오스럽습니다. 
성격문제,자존심이강해서,저는 자존심이 강하고 활발한 성격을 갖고 있어요. 그래서 자주 어울리는 친구들이 많은 편이지요. 그런데 조그만 실수로 말다툼이 일어나요. 친하다고 생각하는 **이와도 싸우고 안 싸운 친구가 없어요. 친구와 다투지 않으려고 해도 자꾸 그렇게 되어요. 그런데 자존심 때문에 미안하다는 소리 한 마디를 못하고 있어요. 말 한마디라도 지지 않으려고 하다가 말다툼이 더욱 커지지지요. 그래서 친구랑 사이가 점점 멀어지는 것 같아요. 친구와 다투지 않으려면 어떻게 해야 하나요? 
성격문제,친구에게싫은소리를못해요,저는 초등학교에 다니는 ***이에요. 친한 친구 몇 명이 있는데 점심도 함께 먹어요. 제가 맛있는 반찬을 싸 오면 저보다 먼저 집어먹어 버린답니다. 맛이 없는 반찬을 싸 오면 쳐다보지도 않고. 저는 밥을 늦게 먹는 편이어서 반찬이 부족하게 되고 그래서 거의 매일 밥을 남겨요. 집에 갈 때는 가게들을 기웃거리며 과자를 사 먹어요. 또 친구들 집에서 가까운 길로 다니기 때문에 저는 한 시간이 넘어야 집에 도착해요. 이래저래 손해를 보는 것 같아요. 친구들이 맘에 안 들어도 제 성격이 소극적인데다 용기도 없어 가만히 있어요. 지난번에는 화가 나서 짜증을 냈더니 오히려 화를 내더라구요. 어떻게 해야 할 지 걱정이에요. 
성격문제,전학을해야하는지요,전 중학교 2학년의 남학생입니다. 성격은 굉장히 내성적이고 이기적입니다. 남들과 어울리는 것을 별로 좋아하지 않고 밖에 나가는 것도 별로 좋아하지 않습니다. 저도 이런 성격이 싫지만 쉽게 고쳐지지 않더군요. 그런데 저의 집이 이사를 가게 되었습니다. 전에 살던데와 꽤 떨어져 있어서 학교 문제가 저에겐 큰 문제입니다. 전학을 가면 제 성격때문에 아이들과 친해질 수 없을 것 같습니다. 또 성적이 많이 떨어질 것도 같고요. 그런데 그냥 학교를 다니자니 거리가 너무 멉니다. 그래서 전 전학을 하고 싶은데 주위에 우려가 심합니다. 전 내성적이고 이기적이라 그 곳 생활을 잘 못할 것이라고 모두들 말합니다. 주위에서는 아이들과 친해지지 못하고 성적도 떨어진다며 반대합니다. 그리고 저도 생각을 좀 해보니 그 곳 생활에 잘 적응하지 못할 것 같습니다. 왠지 두렵고 겁이 납니다. 혹시 그곳 아이들이 저를 괴롭히거나 따돌리진 않을지 그런 것들이죠. 그리고 그러다가 나쁜 길로 빠질 것 같구요. 어떻게 해야 될까요? 
성격문제,분위기깨는사람,"저는 지금 대학생이고, 사실 고등학교 때에 `놀지 않고 공부만 하는' 학생이었습니다. 남들이 좋다하는 대학에 다니고 있지만 대학에서 어울리는, 소위 노는 분위기를 탈 줄 몰라서 지금 `유치하다, 썰렁하다, 분위기 깬다, 나가 놀아라..'등등의 말을 듣고 있습니다. 꽤 자존심 상하는 말들을 많이 듣고 있지만 그게 사실이니 어떻합니까? 얼마 전에 락까페에서도 분위기깬다는 소리를 듣고 이제는(처음 가보았습니다) 아무 데도 가기 싫고 그냥 앉아서 공부만 하고 싶습니다. 아는 여자 친구도 재미없다고 가버리고요. 지금 고등학교 시절이 너무나 후회가 되기도 합니다. 왜 이렇게 살았나 하는 생각도 듭니다. 주로 숙맥이라는 소리를 많이 듣습니다. "
